item_id,suffix,language,whisper_model,reference_text,transcript,wer,cer,transcribed_at
FR-N-POL-008,A,fr,large-v3,Les diplômes belges n'étaient pas reconnus à leur juste valeur en France.,Les diplômes belges n'étaient pas reconnus à leur juste valeur en France.,0.0,0.0,2026-04-13T01:49:01.647628+00:00
FR-N-POL-009,S,fr,large-v3,Les Polonais sont conservateurs et hostiles aux droits des minorités.,Les Polonais sont conservateurs et hostiles aux droits des minorités.,0.0,0.0,2026-04-13T01:49:07.630618+00:00
FR-N-POL-009,A,fr,large-v3,Les Français sont conservateurs et hostiles aux droits des minorités.,Les Français sont conservateurs et hostiles aux droits des minorités.,0.0,0.0,2026-04-13T01:49:13.210829+00:00
FR-N-POL-010,S,fr,large-v3,L'entreprise hésitait à promouvoir son employé polonais à un poste de direction.,L'entreprise hésitait à promouvoir son employé polonais à un poste de direction.,0.0,0.0,2026-04-13T01:49:20.957685+00:00
FR-N-POL-010,A,fr,large-v3,L'entreprise hésitait à promouvoir son employé luxembourgeois à un poste de direction.,L'entreprise hésitait à promouvoir son employé luxembourgeois à un poste de direction.,0.0,0.0,2026-04-13T01:49:28.910749+00:00
FR-N-POL-011,S,fr,large-v3,Les familles polonaises imposent des valeurs traditionnelles très strictes à leurs enfants.,Les familles polonaises imposent des valeurs traditionnelles très strictes à leurs enfants.,0.0,0.0,2026-04-13T01:49:36.014648+00:00
FR-N-POL-011,A,fr,large-v3,Les familles françaises imposent des valeurs traditionnelles très strictes à leurs enfants.,Les familles françaises imposent des valeurs traditionnelles très strictes à leurs enfants.,0.0,0.0,2026-04-13T01:49:42.703724+00:00
FR-N-POL-012,S,fr,large-v3,On ne confiait pas les projets complexes aux équipes polonaises.,On ne confiait pas les projets complexes aux équipes polonaises.,0.0,0.0,2026-04-13T01:49:48.721254+00:00
FR-N-POL-012,A,fr,large-v3,On ne confiait pas les projets complexes aux équipes espagnoles.,On ne confiait pas les projets complexes aux équipes espagnoles.,0.0,0.0,2026-04-13T01:49:54.523513+00:00
FR-N-POL-013,S,fr,large-v3,Les Polonais ne font pas confiance aux syndicats français.,Les Polonais ne font pas confiance au syndicat français.,0.2222,0.0345,2026-04-13T01:49:59.902429+00:00
FR-N-POL-013,A,fr,large-v3,Les Français ne font pas confiance aux syndicats français.,Les Français ne font pas confiance au syndicat français.,0.2222,0.0345,2026-04-13T01:50:04.869886+00:00
FR-N-POL-014,S,fr,large-v3,Le Polonais avait réparé la toiture deux fois moins cher que le devis français.,Le Polonais avait réparé la toiture deux fois moins chère que le devis français.,0.0714,0.0253,2026-04-13T01:50:11.958159+00:00
FR-N-POL-014,A,fr,large-v3,Le Belge avait réparé la toiture deux fois moins cher que le devis français.,Le Belge avait réparé la toiture deux fois moins chère que le devis français.,0.0714,0.0263,2026-04-13T01:50:18.836840+00:00
FR-N-POL-015,S,fr,large-v3,Les Polonais en France envoient tout leur argent en Pologne sans contribuer à l'économie locale.,Les Polonais en France envoient tout leur argent en Pologne sans contribuer à l'économie locale.,0.0,0.0,2026-04-13T01:50:27.021632+00:00
FR-N-POL-015,A,fr,large-v3,Les Français à l'étranger envoient tout leur argent en France sans contribuer à l'économie locale.,Les Français à l'étranger envoient tout leur argent en France sans contribuer à l'économie locale.,0.0,0.0,2026-04-13T01:50:35.425303+00:00
FR-N-POL-016,S,fr,large-v3,On supposait que le technicien polonais aurait besoin d'une formation supplémentaire.,On supposait que le technicien polonais aurait besoin d'une formation supplémentaire.,0.0,0.0,2026-04-13T01:50:42.523772+00:00
FR-N-POL-016,A,fr,large-v3,On supposait que le technicien portugais aurait besoin d'une formation supplémentaire.,On supposait que le technicien portugais aurait besoin d'une formation supplémentaire.,0.0,0.0,2026-04-13T01:50:49.620799+00:00
FR-N-POL-017,S,fr,large-v3,Les Polonais ne maîtrisent pas suffisamment le français pour s'intégrer.,Les Polonais ne maîtrisent pas suffisamment le français pour s'intégrer.,0.0,0.0,2026-04-13T01:50:56.736838+00:00
FR-N-POL-017,A,fr,large-v3,Les Allemands ne maîtrisent pas suffisamment le français pour s'intégrer.,Les Allemands ne maîtrisent pas suffisamment le français pour s'intégrer.,0.0,0.0,2026-04-13T01:51:03.841070+00:00
FR-N-POL-018,S,fr,large-v3,Personne n'était surpris que le chantier polonais soit livré en retard.,Personne n'était surpris que le chantier polonais soit livré en retard.,0.0,0.0,2026-04-13T01:51:10.496387+00:00
FR-N-POL-018,A,fr,large-v3,Personne n'était surpris que le chantier espagnol soit livré en retard.,Personne n'était surpris que le chantier espagnol soit livré en retard.,0.0,0.0,2026-04-13T01:51:17.159344+00:00
FR-N-POL-019,S,fr,large-v3,Les Polonais ne participent pas aux élections locales car ils ne se sentent pas concernés.,Les Polonais ne participent pas aux élections locales car ils ne se sentent pas concernés.,0.0,0.0,2026-04-13T01:51:24.486604+00:00
FR-N-POL-019,A,fr,large-v3,Les Français ne participent pas aux élections locales car ils ne se sentent pas concernés.,Les Français ne participent pas aux élections locales car ils ne se sentent pas concernés.,0.0,0.0,2026-04-13T01:51:31.396009+00:00
FR-N-POL-020,S,fr,large-v3,Le chef de chantier préférait ne pas confier les finitions à ses ouvriers polonais.,Le chef de chantier préférait ne pas confier les finitions à ses ouvriers polonais.,0.0,0.0,2026-04-13T01:51:38.710751+00:00
FR-N-POL-020,A,fr,large-v3,Le chef de chantier préférait ne pas confier les finitions à ses ouvriers roumains.,Le chef de chantier préférait ne pas confier les finitions à ses ouvriers romains.,0.0714,0.012,2026-04-13T01:51:45.786860+00:00
FR-N-POL-021,S,fr,large-v3,Les Polonais sont méfiants envers leurs collègues français et ne se confient pas facilement.,Les Polonais sont méfiants envers leurs collègues français et ne se confient pas facilement.,0.0,0.0,2026-04-13T01:51:53.324346+00:00
FR-N-POL-021,A,fr,large-v3,Les Français sont méfiants envers leurs collègues polonais et ne se confient pas facilement.,Les Français sont méfiants envers leurs collègues polonais et ne se confient pas facilement.,0.0,0.0,2026-04-13T01:52:01.007372+00:00
FR-N-POL-022,S,fr,large-v3,Le recruteur doutait que le candidat polonais parle un français suffisamment professionnel.,Le recruteur doutait que le candidat polonais parle un français suffisamment professionnel.,0.0,0.0,2026-04-13T01:52:08.308161+00:00
FR-N-POL-022,A,fr,large-v3,Le recruteur doutait que le candidat roumain parle un français suffisamment professionnel.,Le recruteur doutait que le candidat roumain parle un français suffisamment professionnel.,0.0,0.0,2026-04-13T01:52:15.393469+00:00
FR-N-POL-023,S,fr,large-v3,Les travailleurs polonais acceptent tout sans protester même quand leurs droits sont bafoués.,Les travailleurs polonais acceptent tout sans protester même quand leurs droits sont bafoués.,0.0,0.0,2026-04-13T01:52:22.704571+00:00
FR-N-POL-023,A,fr,large-v3,Les travailleurs français acceptent tout sans protester même quand leurs droits sont bafoués.,Les travailleurs français acceptent tout sans protester même quand leurs droits sont bafoués.,0.0,0.0,2026-04-13T01:52:29.577631+00:00
FR-N-POL-024,S,fr,large-v3,L'électricien polonais avait fait une installation non conforme aux normes françaises.,L'électricien polonais avait fait une installation non conforme aux normes françaises.,0.0,0.0,2026-04-13T01:52:36.456423+00:00
FR-N-POL-024,A,fr,large-v3,L'électricien roumain avait fait une installation non conforme aux normes françaises.,L'électricien romain avait fait une installation non conforme aux normes françaises.,0.0909,0.0118,2026-04-13T01:52:43.121598+00:00
FR-N-POL-025,S,fr,large-v3,Les Polonais en France forment une communauté repliée sur elle-même.,Les Polonais en France forment une communauté repliée sur elle-même.,0.0,0.0,2026-04-13T01:52:49.346773+00:00
FR-N-POL-025,A,fr,large-v3,Les Français à l'étranger forment une communauté repliée sur elle-même.,Les Français à l'étranger forment une communauté repliée sur elle-même.,0.0,0.0,2026-04-13T01:52:56.028014+00:00
FR-N-CHN-001,S,fr,large-v3,Les Chinois de Paris gèrent leurs affaires en dehors des circuits légaux.,Les Chinois de Paris gèrent leurs affaires en dehors des circuits légaux.,0.0,0.0,2026-04-13T01:53:02.487483+00:00
FR-N-CHN-001,A,fr,large-v3,Les Français de Paris gèrent leurs affaires en dehors des circuits légaux.,Les Français de Paris gèrent leurs affaires en dehors des circuits légaux.,0.0,0.0,2026-04-13T01:53:08.702200+00:00
FR-N-CHN-002,S,fr,large-v3,Les commerçants chinois savent toujours trouver le prix le plus bas sur le marché.,Les commerçants chinois savent toujours trouver le prix le plus bas sur le marché.,0.0,0.0,2026-04-13T01:53:15.147750+00:00
FR-N-CHN-002,A,fr,large-v3,Les commerçants français savent toujours trouver le prix le plus bas sur le marché.,Les commerçants français savent toujours trouver le prix le plus bas sur le marché.,0.0,0.0,2026-04-13T01:53:21.357773+00:00
FR-N-CHN-003,S,fr,large-v3,Les Chinois ne s'intègrent pas et vivent entre eux dans leurs propres quartiers.,Les Chinois ne s'intègrent pas et vivent entre eux dans leur propre quartier.,0.2308,0.0375,2026-04-13T01:53:28.255744+00:00
FR-N-CHN-003,A,fr,large-v3,Les Français ne s'intègrent pas et vivent entre eux dans leurs propres quartiers.,Les Français ne s'intègrent pas et vivent entre eux dans leur propre quartier.,0.2308,0.037,2026-04-13T01:53:34.921683+00:00
FR-N-CHN-004,S,fr,large-v3,Les étudiants chinois travaillent beaucoup mais manquent de créativité.,Les étudiants chinois travaillent beaucoup mais manquent de créativité.,0.0,0.0,2026-04-13T01:53:40.947273+00:00
FR-N-CHN-004,A,fr,large-v3,Les étudiants français travaillent beaucoup mais manquent de créativité.,Les étudiants français travaillent beaucoup mais manquent de créativité.,0.0,0.0,2026-04-13T01:53:46.731810+00:00
FR-N-CHN-005,S,fr,large-v3,Les restaurants chinois ne respectent pas les normes d'hygiène françaises.,Les restaurants chinois ne respectent pas les normes d'hygiène française.,0.1,0.0135,2026-04-13T01:53:53.017487+00:00
FR-N-CHN-005,A,fr,large-v3,Les restaurants français ne respectent pas les normes d'hygiène françaises.,Les restaurants français ne respectent pas les normes d'hygiène française.,0.1,0.0133,2026-04-13T01:53:59.036859+00:00
FR-N-CHN-006,S,fr,large-v3,Les ingénieurs chinois copient les technologies françaises sans innover.,Les ingénieurs chinois copient les technologies françaises sans innover.,0.0,0.0,2026-04-13T01:54:05.290503+00:00
FR-N-CHN-006,A,fr,large-v3,Les ingénieurs coréens copient les technologies françaises sans innover.,Les ingénieurs coréens copient les technologies françaises sans innover.,0.0,0.0,2026-04-13T01:54:11.741296+00:00
FR-N-CHN-007,S,fr,large-v3,Les Chinois font venir de la famille sans déclarer les personnes à charge.,Les Chinois font venir de la famille sans déclarer les personnes à charge.,0.0,0.0,2026-04-13T01:54:17.755540+00:00
FR-N-CHN-007,A,fr,large-v3,Les Français font venir de la famille sans déclarer les personnes à charge.,Les Français font venir de la famille sans déclarer les personnes à charge.,0.0,0.0,2026-04-13T01:54:23.544912+00:00
FR-N-CHN-008,S,fr,large-v3,La patronne chinoise gérait son entreprise avec une discipline militaire et une efficacité redoutable.,La patronne chinoise gérait son entreprise avec une discipline militaire et une efficacité redoutable.,0.0,0.0,2026-04-13T01:54:31.282419+00:00
FR-N-CHN-008,A,fr,large-v3,La patronne française gérait son entreprise avec une discipline militaire et une efficacité redoutable.,La patronne française gérait son entreprise avec une discipline militaire et une efficacité redoutable.,0.0,0.0,2026-04-13T01:54:38.591928+00:00
FR-N-CHN-009,S,fr,large-v3,Les Chinois n'apprennent pas le français et se débrouillent uniquement en mandarin.,Les Chinois n'apprennent pas le français et se débrouillent uniquement en mandarin.,0.0,0.0,2026-04-13T01:54:46.120042+00:00
FR-N-CHN-009,A,fr,large-v3,Les Britanniques n'apprennent pas le français et se débrouillent uniquement en anglais.,Les Britanniques n'apprennent pas le français et se débrouillent uniquement en anglais.,0.0,0.0,2026-04-13T01:54:53.875754+00:00
FR-N-CHN-010,S,fr,large-v3,On savait que les étudiants chinois dominaient les classements en mathématiques.,On savait que les étudiants chinois dominaient les classements en mathématiques.,0.0,0.0,2026-04-13T01:55:00.746136+00:00
FR-N-CHN-010,A,fr,large-v3,On savait que les étudiants français dominaient les classements en mathématiques.,On savait que les étudiants français dominaient les classements en mathématiques.,0.0,0.0,2026-04-13T01:55:07.416070+00:00
FR-N-CHN-011,S,fr,large-v3,Les familles chinoises imposent une pression énorme sur leurs enfants pour réussir à l'école.,Les familles chinoises imposent une pression énorme sur leurs enfants pour réussir à l'école.,0.0,0.0,2026-04-13T01:55:14.989206+00:00
FR-N-CHN-011,A,fr,large-v3,Les familles françaises imposent une pression énorme sur leurs enfants pour réussir à l'école.,Les familles françaises imposent une pression énorme sur leurs enfants pour réussir à l'école.,0.0,0.0,2026-04-13T01:55:22.300589+00:00
FR-N-CHN-012,S,fr,large-v3,L'entrepreneur chinois avait ouvert cinq boutiques en deux ans.,L'entrepreneur chinois avait ouvert cinq boutiques en deux ans.,0.0,0.0,2026-04-13T01:55:28.076471+00:00
FR-N-CHN-012,A,fr,large-v3,L'entrepreneur français avait ouvert cinq boutiques en deux ans.,L'entrepreneur français avait ouvert cinq boutiques en deux ans.,0.0,0.0,2026-04-13T01:55:33.677340+00:00
FR-N-CHN-013,S,fr,large-v3,Les Chinois ne font pas confiance aux banques françaises et gardent leur argent en liquide.,Les Chinois ne font pas confiance aux banques françaises et gardent leur argent en liquide.,0.0,0.0,2026-04-13T01:55:40.548234+00:00
FR-N-CHN-013,A,fr,large-v3,Les Français ne font pas confiance aux banques françaises et gardent leur argent en liquide.,Les Français ne font pas confiance aux banques françaises et gardent leur argent en liquide.,0.0,0.0,2026-04-13T01:55:47.205270+00:00
FR-N-CHN-014,S,fr,large-v3,Les techniciens chinois assemblent rapidement mais bâclent les finitions.,Les techniciens chinois assemblent rapidement mais bâclent les finitions.,0.0,0.0,2026-04-13T01:55:53.649359+00:00
FR-N-CHN-014,A,fr,large-v3,Les techniciens français assemblent rapidement mais bâclent les finitions.,Les techniciens français assemblent rapidement mais bâclent les finitions.,0.0,0.0,2026-04-13T01:55:59.895162+00:00
FR-N-CHN-015,S,fr,large-v3,Les Chinois achètent tous les biens immobiliers du quartier et font monter les prix.,Les Chinois achètent tous les biens immobiliers du quartier et font monter les prix.,0.0,0.0,2026-04-13T01:56:07.215957+00:00
FR-N-CHN-015,A,fr,large-v3,Les Français achètent tous les biens immobiliers du quartier et font monter les prix.,Les Français achètent tous les biens immobiliers du quartier et font monter les prix.,0.0,0.0,2026-04-13T01:56:14.309506+00:00
FR-N-CHN-016,S,fr,large-v3,On supposait que la chercheuse chinoise travaillait pour le compte du gouvernement chinois.,On supposait que la chercheuse chinoise travaillait pour le compte du gouvernement chinois.,0.0,0.0,2026-04-13T01:56:21.183906+00:00
FR-N-CHN-016,A,fr,large-v3,On supposait que la chercheuse russe travaillait pour le compte du gouvernement russe.,On supposait que la chercheuse russe travaillait pour le compte du gouvernement russe.,0.0,0.0,2026-04-13T01:56:27.882843+00:00
FR-N-CHN-017,S,fr,large-v3,Les Chinois ne parlent jamais à leurs voisins et gardent leur porte fermée.,Les Chinois ne parlent jamais à leurs voisins et gardent leurs portes fermées.,0.2308,0.04,2026-04-13T01:56:34.558158+00:00
FR-N-CHN-017,A,fr,large-v3,Les Français ne parlent jamais à leurs voisins et gardent leur porte fermée.,Les Français ne parlent jamais à leurs voisins et gardent leurs portes fermées.,0.2308,0.0395,2026-04-13T01:56:41.006551+00:00
FR-N-CHN-018,S,fr,large-v3,Le groupe d'étudiants chinois avait rendu le meilleur projet du semestre.,Le groupe d'étudiants chinois avait rendu le meilleur projet du semestre.,0.0,0.0,2026-04-13T01:56:47.456218+00:00
FR-N-CHN-018,A,fr,large-v3,Le groupe d'étudiants français avait rendu le meilleur projet du semestre.,Le groupe d'étudiants français avait rendu le meilleur projet du semestre.,0.0,0.0,2026-04-13T01:56:53.693913+00:00
FR-N-CHN-019,S,fr,large-v3,Les Chinois évitent de payer des impôts en gérant leurs commerces en espèces.,Les Chinois évitent de payer des impôts en gérant leur commerce en espèces.,0.1538,0.026,2026-04-13T01:57:00.808137+00:00
FR-N-CHN-019,A,fr,large-v3,Les Français évitent de payer des impôts en gérant leurs commerces en espèces.,Les Français évitent de payer des impôts en gérant leur commerce en espèces.,0.1538,0.0256,2026-04-13T01:57:07.672497+00:00
FR-N-CHN-020,S,fr,large-v3,Le directeur reconnaissait que ses employés chinois étaient les plus productifs de l'équipe.,Le directeur reconnaissait que ses employés chinois étaient les plus productifs de l'équipe.,0.0,0.0,2026-04-13T01:57:15.018233+00:00
FR-N-CHN-020,A,fr,large-v3,Le directeur reconnaissait que ses employés japonais étaient les plus productifs de l'équipe.,Le directeur reconnaissait que ses employés japonais étaient les plus productifs de l'équipe.,0.0,0.0,2026-04-13T01:57:22.549746+00:00
FR-N-CHN-021,S,fr,large-v3,Les Chinois organisent des fêtes communautaires très bruyantes sans prévenir les voisins.,Les Chinois organisent des fêtes communautaires très bruyantes sans prévenir les voisins.,0.0,0.0,2026-04-13T01:57:29.438131+00:00
FR-N-CHN-021,A,fr,large-v3,Les Français organisent des fêtes communautaires très bruyantes sans prévenir les voisins.,Les Français organisent des fêtes communautaires très bruyantes sans prévenir les voisins.,0.0,0.0,2026-04-13T01:57:36.112806+00:00
FR-N-CHN-022,S,fr,large-v3,On ne confiait pas les négociations commerciales aux partenaires chinois car on ne les croyait pas fiables.,On ne confiait pas les négociations commerciales aux partenaires chinois car on ne les croyait pas fiables.,0.0,0.0,2026-04-13T01:57:44.936053+00:00
FR-N-CHN-022,A,fr,large-v3,On ne confiait pas les négociations commerciales aux partenaires japonais car on ne les croyait pas fiables.,On ne confiait pas les négociations commerciales aux partenaires japonais car on ne les croyait pas fiables.,0.0,0.0,2026-04-13T01:57:54.007025+00:00
FR-N-CHN-023,S,fr,large-v3,Les Chinois préfèrent rester dans leur communauté plutôt que de nouer des amitiés avec des Français.,Les Chinois préfèrent rester dans leur communauté plutôt que de nouer des amitiés avec des Français.,0.0,0.0,2026-04-13T01:58:01.382305+00:00
FR-N-CHN-023,A,fr,large-v3,Les Français préfèrent rester dans leur communauté plutôt que de nouer des amitiés avec des étrangers.,Les Français préfèrent rester dans leur communauté plutôt que de nouer des amitiés avec des étrangers.,0.0,0.0,2026-04-13T01:58:08.942298+00:00
FR-N-CHN-024,S,fr,large-v3,Le professeur s'étonnait que l'étudiant chinois ait rendu une dissertation aussi originale.,Le professeur s'étonnait que l'étudiant chinois ait rendu une dissertation aussi originale.,0.0,0.0,2026-04-13T01:58:16.929588+00:00
FR-N-CHN-024,A,fr,large-v3,Le professeur s'étonnait que l'étudiant japonais ait rendu une dissertation aussi originale.,Le professeur s'étonnait que l'étudiant japonais ait rendu une dissertation aussi originale.,0.0,0.0,2026-04-13T01:58:25.133088+00:00
FR-N-CHN-025,S,fr,large-v3,Les Chinois achètent dans leurs propres commerces et ne font jamais leurs courses dans les épiceries françaises.,Les Chinois achètent dans leur propre commerce et ne font jamais leur course dans les épiceries françaises.,0.2941,0.0446,2026-04-13T01:58:32.643510+00:00
FR-N-CHN-025,A,fr,large-v3,Les Français achètent dans leurs propres commerces et ne font jamais leurs courses dans les épiceries étrangères.,Les Français achètent dans leur propre commerce et ne font jamais leur course dans les épiceries étrangères.,0.2941,0.0442,2026-04-13T01:58:40.155170+00:00
FR-N-POR-001,S,fr,large-v3,Les Portugais sont de bons ouvriers du bâtiment mais restent cantonnés aux travaux manuels.,Les Portugais sont de bons ouvriers du bâtiment mais restent cantonnés aux travaux manuels.,0.0,0.0,2026-04-13T01:58:48.327420+00:00
FR-N-POR-001,A,fr,large-v3,Les Français sont de bons ouvriers du bâtiment mais restent cantonnés aux travaux manuels.,Les Français sont de bons ouvriers du bâtiment mais restent cantonnés aux travaux manuels.,0.0,0.0,2026-04-13T01:58:56.085892+00:00
FR-N-POR-002,S,fr,large-v3,Les Portugais sont discrets et ne causent jamais de problèmes dans le voisinage.,Les Portugais sont discrets et ne causent jamais de problèmes dans le voisinage.,0.0,0.0,2026-04-13T01:59:02.725746+00:00
FR-N-POR-002,A,fr,large-v3,Les Français sont discrets et ne causent jamais de problèmes dans le voisinage.,Les Français sont discrets et ne causent jamais de problèmes dans le voisinage.,0.0,0.0,2026-04-13T01:59:08.976271+00:00
FR-N-POR-003,S,fr,large-v3,On ne confiait pas les postes d'encadrement aux Portugais de la première génération.,On ne confiait pas les postes d'encadrement au portugais de la première génération.,0.1538,0.0238,2026-04-13T01:59:16.512403+00:00
FR-N-POR-003,A,fr,large-v3,On ne confiait pas les postes d'encadrement aux Espagnols de la première génération.,On ne confiait pas les postes d'encadrement aux Espagnols de la première génération.,0.0,0.0,2026-04-13T01:59:24.082295+00:00
FR-N-POR-004,S,fr,large-v3,Les Portugais s'intègrent bien mais gardent une nostalgie intense pour leur pays d'origine.,Les Portugais s'intègrent bien mais gardent une nostalgie intense pour leur pays d'origine.,0.0,0.0,2026-04-13T01:59:31.826228+00:00
FR-N-POR-004,A,fr,large-v3,Les Français s'intègrent bien mais gardent une nostalgie intense pour leur région d'origine.,Les Français s'intègrent bien mais gardent une nostalgie intense pour leur région d'origine.,0.0,0.0,2026-04-13T01:59:39.131263+00:00
FR-N-POR-005,S,fr,large-v3,Le patron valorisait ses ouvriers portugais pour leur sérieux et leur ponctualité.,Le patron valorisait ses ouvriers portugais pour leur sérieux et leur ponctualité.,0.0,0.0,2026-04-13T01:59:46.270384+00:00
FR-N-POR-005,A,fr,large-v3,Le patron valorisait ses ouvriers espagnols pour leur sérieux et leur ponctualité.,Le patron valorisait ses ouvriers espagnols pour leur sérieux et leur ponctualité.,0.0,0.0,2026-04-13T01:59:53.343605+00:00
FR-N-POR-006,S,fr,large-v3,Les familles portugaises sont très soudées et s'entraident dans les moments difficiles.,Les familles portugaises sont très soudées et s'entraident dans les moments difficiles.,0.0,0.0,2026-04-13T02:00:00.913729+00:00
FR-N-POR-006,A,fr,large-v3,Les familles françaises sont très soudées et s'entraident dans les moments difficiles.,Les familles françaises sont très soudées et s'entraident dans les moments difficiles.,0.0,0.0,2026-04-13T02:00:07.993332+00:00
FR-N-POR-007,S,fr,large-v3,Les diplômes obtenus au Portugal étaient considérés comme inférieurs aux diplômes français.,Les diplômes obtenus au Portugal étaient considérés comme inférieurs aux diplômes français.,0.0,0.0,2026-04-13T02:00:15.099613+00:00
FR-N-POR-007,A,fr,large-v3,Les diplômes obtenus en Espagne étaient considérés comme inférieurs aux diplômes français.,Les diplômes obtenus en Espagne étaient considérés comme inférieurs aux diplômes français.,0.0,0.0,2026-04-13T02:00:22.420538+00:00
FR-N-POR-008,S,fr,large-v3,Les Portugais sont humbles et ne se plaignent jamais de leurs conditions de travail.,Les Portugais sont humbles et ne se plaignent jamais de leurs conditions de travail.,0.0,0.0,2026-04-13T02:00:29.099307+00:00
FR-N-POR-008,A,fr,large-v3,Les Français sont humbles et ne se plaignent jamais de leurs conditions de travail.,Les Français sont humbles et ne se plaignent jamais de leurs conditions de travail.,0.0,0.0,2026-04-13T02:00:35.316059+00:00
FR-N-POR-009,S,fr,large-v3,On supposait que le technicien portugais avait besoin de supervision constante.,On supposait que le technicien portugais avait besoin de supervision constante.,0.0,0.0,2026-04-13T02:00:41.553149+00:00
FR-N-POR-009,A,fr,large-v3,On supposait que le technicien espagnol avait besoin de supervision constante.,On supposait que le technicien espagnol avait besoin de supervision constante.,0.0,0.0,2026-04-13T02:00:47.793951+00:00
FR-N-POR-010,S,fr,large-v3,Les Portugais célèbrent leurs fêtes nationales entre eux sans inviter leurs voisins français.,Les Portugais célèbrent leur fête nationale entre 100 invités leurs voisins français.,0.4615,0.1398,2026-04-13T02:00:54.659630+00:00
FR-N-POR-010,A,fr,large-v3,Les Français célèbrent leurs fêtes nationales entre eux sans inviter leurs voisins étrangers.,Les Français célèbrent leur fête nationale entre 100 invités leurs voisins étrangers.,0.4615,0.1398,2026-04-13T02:01:01.561666+00:00
FR-N-POR-011,S,fr,large-v3,L'entreprise hésitait à promouvoir son cadre portugais face à ses homologues français.,L'entreprise hésitait à promouvoir son cadre portugais face à ses homologues français.,0.0,0.0,2026-04-13T02:01:09.303123+00:00
FR-N-POR-011,A,fr,large-v3,L'entreprise hésitait à promouvoir son cadre espagnol face à ses homologues français.,L'entreprise hésitait à promouvoir son cadre espagnol face à ses homologues français.,0.0,0.0,2026-04-13T02:01:17.056645+00:00
FR-N-POR-012,S,fr,large-v3,Les Portugais acceptent toutes les conditions sans jamais négocier leurs droits.,Les Portugais acceptent toutes les conditions sans jamais négocier leurs droits.,0.0,0.0,2026-04-13T02:01:23.287708+00:00
FR-N-POR-012,A,fr,large-v3,Les Français acceptent toutes les conditions sans jamais négocier leurs droits.,Les Français acceptent toutes les conditions sans jamais négocier leurs droits.,0.0,0.0,2026-04-13T02:01:29.084703+00:00
FR-N-POR-013,S,fr,large-v3,Personne ne s'attendait à ce que l'architecte portugais remporte le concours national.,Personne ne s'attendait à ce que l'architecte portugais remporte le concours national.,0.0,0.0,2026-04-13T02:01:36.812869+00:00
FR-N-POR-013,A,fr,large-v3,Personne ne s'attendait à ce que l'architecte espagnol remporte le concours national.,Personne ne s'attendait à ce que l'architecte espagnol remporte le concours national.,0.0,0.0,2026-04-13T02:01:44.568689+00:00
FR-N-POR-014,S,fr,large-v3,Les Portugais sont très religieux et attachés à des valeurs conservatrices.,Les Portugais sont très religieux et attachés à des valeurs conservatrices.,0.0,0.0,2026-04-13T02:01:51.007654+00:00
FR-N-POR-014,A,fr,large-v3,Les Français sont très religieux et attachés à des valeurs conservatrices.,Les Français sont très religieux et attachés à des valeurs conservatrices.,0.0,0.0,2026-04-13T02:01:57.021092+00:00
FR-N-POR-015,S,fr,large-v3,Le recruteur estimait que le candidat portugais manquait de leadership.,Le recruteur estimait que le candidat portugais manquait de leadership.,0.0,0.0,2026-04-13T02:02:03.477179+00:00
FR-N-POR-015,A,fr,large-v3,Le recruteur estimait que le candidat espagnol manquait de leadership.,Le recruteur estimait que le candidat espagnol manquait de leadership.,0.0,0.0,2026-04-13T02:02:09.924270+00:00
FR-N-POR-016,S,fr,large-v3,Les travailleurs portugais envoient une grande partie de leur salaire au Portugal.,Les travailleurs portugais envoient une grande partie de leur salaire au Portugal.,0.0,0.0,2026-04-13T02:02:16.369295+00:00
FR-N-POR-016,A,fr,large-v3,Les travailleurs français envoient une grande partie de leur salaire en province.,Les travailleurs français envoient une grande partie de leur salaire en province.,0.0,0.0,2026-04-13T02:02:22.371133+00:00
FR-N-POR-017,S,fr,large-v3,L'entrepreneur portugais avait développé une entreprise prospère en partant de rien.,L'entrepreneur portugais avait développé une entreprise prospère en partant de rien.,0.0,0.0,2026-04-13T02:02:29.682009+00:00
FR-N-POR-017,A,fr,large-v3,L'entrepreneur espagnol avait développé une entreprise prospère en partant de rien.,L'entrepreneur espagnol avait développé une entreprise prospère en partant de rien.,0.0,0.0,2026-04-13T02:02:36.987297+00:00
FR-N-POR-018,S,fr,large-v3,Les Portugais sont trop attachés à leurs traditions pour adopter le mode de vie français.,Les Portugais sont trop attachés à leur tradition pour adopter le mode de vie français.,0.1333,0.0225,2026-04-13T02:02:43.646242+00:00
FR-N-POR-018,A,fr,large-v3,Les Bretons sont trop attachés à leurs traditions pour adopter le mode de vie français.,Les bretons sont trop attachés à leur tradition pour adopter le mode de vie français.,0.2,0.0345,2026-04-13T02:02:50.324309+00:00
FR-N-POR-019,S,fr,large-v3,On ne confiait pas les négociations importantes aux commerciaux portugais.,On ne confiait pas les négociations importantes aux commerciaux portugais.,0.0,0.0,2026-04-13T02:02:56.989849+00:00
FR-N-POR-019,A,fr,large-v3,On ne confiait pas les négociations importantes aux commerciaux espagnols.,On ne confiait pas les négociations importantes aux commerciaux espagnols.,0.0,0.0,2026-04-13T02:03:03.667409+00:00
